CVE_ENT,NOM_ENT,lat,lon,Total
1,Aguascalientes,21.8857199,-102.36134,1184996
2,Baja California,31.4035474,-115.7370685,3155070
3,Baja California Sur,26.04444,-111.6661,637026
4,Campeche,18.6062091,-90.7633981,822441
5,Coahuila de Zaragoza,26.9839655,-102.0701078,2748391
6,Colima,19.2401254,-103.7636274,650555
7,Chiapas,16.7461501,-93.1996106,4796580
8,Chihuahua,28.6579881,-108.4350608,3406465
9,Distrito Federal,19.3910038,-99.2837002,8851080
10,Durango,24.0228392,-104.7177655,1632934
11,Guanajuato,21.0251843,-101.2928998,5486372
12,Guerrero,17.547789,-99.532435,3388768
13,Hidalgo,20.4903334,-99.2580819,2665018
14,Jalisco,20.6739383,-103.4054539,7350682
15,México,19.29419,-99.6662332,15175862
16,Michoacán de Ocampo,19.4044658,-102.0799495,4351037
17,Morelos,18.9320308,-99.3106058,1777227
18,Nayarit,21.501062,-104.9119242,1084979
19,Nuevo León,25.6490376,-100.4431832,4653458
20,Oaxaca,17.0813771,-96.7707512,3801962
21,Puebla,18.8825008,-97.7550259,5779829
22,Querétaro Arteaga,20.842884,-100.3803029,1827937
23,Quintana Roo,19.5779307,-88.0630853,1325578
24,San Luis Potosí,22.1129779,-101.0961569,2585518
25,Sinaloa,24.8050567,-107.4933548,2767761
26,Sonora,29.082287,-111.0590274,2662480
27,Tabasco,17.9926802,-93.023162,2238603
28,Tamaulipas,23.7410714,-99.1783576,3268554
29,Tlaxcala,19.412698,-98.1572127,1169936
30,Veracruz de Ignacio de la Llave,19.5421979,-96.9549487,7643194
31,Yucatán,20.9803289,-89.7730057,1955577
32,Zacatecas,23.1830049,-102.9079104,1490668
